ID;Année_Cession;Pays;Département;Commune;Nature;Ministère_occupant;Service_occupant;Type_Procédure_ayant_mené_à_la_vente;Nature_juridique_Acquereur;Année_de_1ère_inscription;Code_INSEE_Commune;Lieu_dit;Numéro;Cardinaux_multiplicatifs;Voie;Adresse;Opérateur;Nb_Procédure;Date_de_signature_de_l_acte_de_vente;adresse_complete;geom
120220004;2016;FRANCE;CÔTES D'ARMOR;GUINGAMP;BUREAU;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Police Nationale;Droit de priorité;Etablissements publics locaux;2012;22070;;3;;RUE;SAINT NICOLAS;;1;2016-12-13;3 RUE SAINT NICOLAS;48.560155, -3.148338
120340013;2016;FRANCE;HÉRAULT;MAS DE LONDRES;ESPACE NATUREL;Ministère de la défense;AUTRES;Droit de priorité;Collectivités territoriales;2012;34152;TERRAIN MILITAIRE DE VIOLS LE FORT;;;;;;1;2016-11-14;;43.781127, 3.751432
120640001;2016;FRANCE;PYRÉNÉES-ATLANTIQUES;CAME;ESPACE NATUREL;Ministère de la défense;AUTRES;Echange (Hors Etat);Collectivités territoriales;2012;64161;LIEU DIT AÉRODROME;;;;;;1;2016-08-03;;43.47276, -1.110656
120740014;2016;FRANCE;HAUTE-SAVOIE;DOUVAINE;LOGEMENT;Ministère du budget, des comptes publics et de la réforme de l'Etat;EPA Masse Douane;Droit de priorité;Collectivités territoriales;2012;74105;;;;AVENUE;DE GENÈVE;;1;2016-12-19;AVENUE DE GENÈVE;46.304447, 6.297293
120750084;2016;FRANCE;PARIS;PARIS 07;BATIMENT TECHNIQUE;Ministère des affaires étrangères et européennes;Autres;Gré à gré;Personnes physiques non commerçantes;2012;75107;;27;;RUE;DE CONSTANTINE;;1;2016-12-06;27 RUE DE CONSTANTINE;48.858423, 2.314792
120780042;2016;FRANCE;YVELINES;CHATOU;RESEAUX ET VOIRIES;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Autres droits;Collectivités territoriales;2012;78146;;28;;CHEMIN;DE BELLEVUE;;1;2016-02-16;28 CHEMIN DE BELLEVUE;48.899735, 2.165212
120840031;2016;FRANCE;VAUCLUSE;AVIGNON;BUREAU;Services du Premier ministre;AUTRES;Droit de priorité;Entreprises société;2012;84007;;;;PLACE;DES CORPS SAINTS;;1;2016-10-13;PLACE DES CORPS SAINTS;43.944535, 4.807508
120860012;2016;FRANCE;VIENNE;CHATELLERAULT;BATIMENT TECHNIQUE;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Gendarmerie Nationale;Droit de priorité;Etablissements publics nationaux;2012;86066;ÉCOLE DE GENDARMERIE DE CHÂTELLERAULT;;;;;;1;2016-06-07;;46.816848, 0.544333
120900011;2016;FRANCE;TERRITOIRE-DE-BELFORT;BELFORT;BUREAU;Ministère de la défense;AUTRES;Autres droits;Collectivités territoriales;2012;90010;;2;;PLACE;DE L'ARSENAL;;1;2016-10-18;2 PLACE DE L'ARSENAL;47.638, 6.86338
129710008;2016;FRANCE;GUADELOUPE;POINTE A PITRE;BUREAU;Ministère de l'éducation nationale;AUTRES;Appel d'offres;Entreprises société;2009;97120;;13;;RUE;LEFEBVRE (55  PEYNIER);;1;2016-06-13;13 RUE LEFEBVRE (55  PEYNIER);16.238016, -61.538661
129710027;2016;FRANCE;GUADELOUPE;LES ABYMES;BUREAU;Ministère du budget, des comptes publics et de la réforme de l'Etat;DGFIP;Appel d'offres;Entreprises société;2012;97101;ZA DUGAZON;;;RUE;DU CADASTRE;;1;2016-06-13;RUE DU CADASTRE;16.273836, -61.505879
130060016;2016;FRANCE;ALPES-MARITIMES;ANTIBES;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Entreprises société;2013;06004;;;;AVENUE;DU CHATAIGNIER;;1;2016-11-29;AVENUE DU CHATAIGNIER;43.580704, 7.112324
130110010;2016;FRANCE;AUDE;PORT LA NOUVELLE;BUREAU;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Gendarmerie Nationale;Droit de priorité;Etablissements publics locaux;2013;11266;;;;BOULEVARD;DE L'AVENIR;;1;2016-11-24;BOULEVARD DE L'AVENIR;43.019743, 3.043927
130380020;2016;FRANCE;ISÈRE;ROYBON;LOGEMENT;Ministère de l'agriculture et de la pêche;ONF;Adjudication;Personnes physiques non commerçantes;2013;38347;MAISON FORESTIÈRE L'ETOILE;3831;;ROUTE;DE MURINAIS;;3;2016-06-23;3831 ROUTE DE MURINAIS;45.241428, 5.282326
130540026;2016;FRANCE;MEURTHE-ET-MOSELLE;VELAINE EN HAYE;BATIMENT TECHNIQUE;Ministère de l'agriculture et de la pêche;ONF;Gré à gré;Etablissements publics nationaux;2013;54557;ZONE D'ACTIVITÉS ÉCONOMIQUES;;;;;;1;2016-09-10;;48.701995, 6.020109
130600015;2016;FRANCE;OISE;OLLENCOURT;BATIMENT TECHNIQUE;Ministère de l'agriculture et de la pêche;ONF;Adjudication;Personnes physiques non commerçantes;2013;60900;MAISON FORESTIÈRE D'OLLENCOURT 60170;;;ROUTE;TRACY LE MONT CARREFOUR;;1;2016-09-08;ROUTE TRACY LE MONT CARREFOUR;
130610012;2016;FRANCE;ORNE;MAISON MAUGIS;BATIMENT TECHNIQUE;Ministère de l'agriculture et de la pêche;ONF;Appel d'offres;Personnes physiques non commerçantes;2013;61245;MAISON FORESTIÈRE DE LA FOSSE AUX LOUPS;;;;;;1;2016-05-04;;
130680010;2016;FRANCE;HAUT-RHIN;FERRETTE;LOGEMENT;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Gendarmerie Nationale;Droit de priorité;Collectivités territoriales;2013;68090;;;;RUE;DU COLONEL ROBELIN;;1;2016-11-04;RUE DU COLONEL ROBELIN;47.491953, 7.322536
130990121;2016;MADAGASCAR;;;LOGEMENT;Ministère des affaires étrangères et européennes;Bien à l'étranger;;Personnes physiques non commerçantes;2013;;ANDREFANDROVA;;;;;;;2016-06-10;;
139880010;2016;FRANCE;NOUVELLE CALEDONIE;NOUMEA;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;DGAC;Adjudication;Entreprises société;2013;98818;BAIE DES CITRONS;9;;RUE;FERNAND LEGRAS;;1;2016-11-09;9 RUE FERNAND LEGRAS;
140010010;2016;FRANCE;AIN;PERONNAS;BUREAU;Ministère du budget, des comptes publics et de la réforme de l'Etat;DGDDI;Appel d'offres;Entreprises société;2014;01289;;212;;CHEMIN;DU STADE;;1;2016-03-18;212 CHEMIN DU STADE;46.187427, 5.214556
140130026;2016;FRANCE;BOUCHES-DU-RHÔNE;LE ROVE;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Personnes physiques non commerçantes;2014;13088;LE CELLIER AE282;;;AVENUE;SAINT ROCH;;1;2016-04-06;AVENUE SAINT ROCH;43.365408, 5.244133
140220010;2016;FRANCE;CÔTES D'ARMOR;PLOUNEVEZ MOEDEC;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Droit de priorité;Collectivités territoriales;2014;22228;;;;SENTIER;LA VIEILLE COTE;;1;2016-10-11;SENTIER LA VIEILLE COTE;48.548051, -3.402384
140310010;2016;FRANCE;HAUTE-GARONNE;TOULOUSE;BATIMENT SANITAIRE OU SOCIAL;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Autres;Droit de priorité;Etablissements publics locaux;2014;31555;;70;;ALLEE;DES DEMOISELLES;;1;2016-01-06;70 ALLEE DES DEMOISELLES;43.588102, 1.459024
140380025;2016;FRANCE;ISÈRE;ST ETIENNE DE ST GEOIRS;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;DGAC;Adjudication;Personnes physiques non commerçantes;2014;38384;;;;ROUTE;ROUTE DE L'AÉROPORT;;1;2016-06-23;ROUTE ROUTE DE L'AÉROPORT;45.346215, 5.338187
140390016;2016;FRANCE;JURA;PATORNAY;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Personnes physiques non commerçantes;2014;39408;AU VILLAGE;;;;;;1;2016-07-25;;46.586041, 5.703982
140620023;2016;FRANCE;PAS-DE-CALAIS;AIRE SUR LA LYS;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Personnes physiques non commerçantes;2014;62014;LDT LE FORT GASSION;;;CHEMIN;DU HALAGE;;1;2016-04-22;CHEMIN DU HALAGE;50.645972, 2.407495
140750019;2016;FRANCE;PARIS;PARIS 08;BUREAU;Ministère de l'intérieur, de l'Outre-mer et des collectivités territoriales;Administration centrale;Appel d'offres;Entreprises société;2014;75108;;4;;RUE;CAMBACERES;;1;2016-01-28;4 RUE CAMBACERES;48.872007, 2.318349
140760038;2016;FRANCE;SEINE-MARITIME;DARNETAL;ESPACE AMENAGE;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Gré à gré;Entreprises société;2014;76212;;106;;RUE;DE ROUEN;;1;2016-06-20;106 RUE DE ROUEN;49.439629, 1.139448
140860010;2016;FRANCE;VIENNE;POITIERS;LOGEMENT;Ministère de la justice et des libertés;DAP;Droit de priorité;Etablissements publics locaux;2014;86194;;37;;RUE;SAINT SATURNIN;;1;2016-03-02;37 RUE SAINT SATURNIN;46.578018, 0.361184
140950010;2016;FRANCE;VAL-D'OISE;MONTMORENCY;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Appel d'offres;Entreprises société;2014;95428;;;;RUE;DE LA REPUBLQIE;;1;2016-08-25;RUE DE LA REPUBLQIE;48.980283, 2.311087
140990188;2016;AUTRICHE;;;BUREAU;Ministère des affaires étrangères et européennes;Bien à l'étranger;;Personnes physiques non commerçantes;2014;;;10;;;INNRAIN;;;2016-12-21;10  INNRAIN;
149720010;2016;FRANCE;MARTINIQUE;LE LAMENTIN;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;DGAC;Droit de priorité;Collectivités territoriales;2014;97213;PETIT MANOIR;1,2,3,4;;RUE;SAINT JOHN PERSE;;1;2016-04-12;1,2,3,4 RUE SAINT JOHN PERSE;14.613642, -60.995478
150130020;2016;FRANCE;BOUCHES-DU-RHÔNE;LE ROVE;ESPACE NATUREL;Biens non affectés;N/A;Gré à gré;Personne morale de droit étranger;2015;13088;;;;ROUTE;RN 568;;1;2016-06-08;ROUTE RN 568;43.368209, 5.25149
150220017;2016;FRANCE;CÔTES D'ARMOR;PLOUNEVEZ MOEDEC;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Appel d'offres;Personnes physiques non commerçantes;2015;22228;PRAT COAT LOSQUET;;;VOIE;RN 12;;1;2016-03-29;VOIE RN 12;48.546127, -3.40782
150230010;2016;FRANCE;CREUSE;LA COURTINE;ESPACE NATUREL;Ministère de la défense;AUTRES;Appel d'offres;Personnes physiques non commerçantes;2015;23067;LE CAMP;;;RUE;23100 LA COURTINE;;1;2016-01-04;RUE 23100 LA COURTINE;45.705343, 2.257801
150300012;2016;FRANCE;GARD;NIMES;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Autres droits;Entreprises société;2015;30189;LD 242-MAS DES GARDIES;;;ROUTE;NATIONALE 106;;1;2016-06-02;ROUTE NATIONALE 106;43.839634, 4.360892
150330014;2016;FRANCE;GIRONDE;TOULENNE;LOGEMENT;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Gré à gré;Personnes physiques non commerçantes;2015;33533;;125;;COURS;DE VERDUN - 33210 TOULENNE - PARCELLES B3475 ET 3477;;2;2016-03-14;125 COURS DE VERDUN - 33210 TOULENNE - PARCELLES B3475 ET 3477;44.558109, -0.265763
150380010;2016;FRANCE;ISÈRE;GRENOBLE;BUREAU;Services du Premier ministre;AUTRES;Appel d'offres;Entreprises société;2015;38185;;11;;AVENUE;PAUL VERLAINE;;1;2016-10-11;11 AVENUE PAUL VERLAINE;45.163053, 5.713124
150430014;2016;FRANCE;HAUTE-LOIRE;YSSINGEAUX;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;Autres;Gré à gré;Personnes physiques non commerçantes;2015;43268;BELLEVUE;;;;;;1;2016-05-26;;45.142738, 4.123467
150540017;2016;FRANCE;MEURTHE-ET-MOSELLE;BRIEY;LOGEMENT;Ministère de l'agriculture et de la pêche;ONF;Adjudication;Personne physique immatriculée (métropole);2015;54099;MAISON FORESTIÈRE DE FROID CUL;;;VOIE;ROUTIERE N° 138 LIEU-DIT BOIS DE FROID CUL;;1;2016-07-04;VOIE ROUTIERE N° 138 LIEU-DIT BOIS DE FROID CUL;49.265271, 5.981731
150540030;2016;FRANCE;MEURTHE-ET-MOSELLE;BENAMENIL;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Autres droits;Entreprises société;2015;54061;SUR LE CHEMIN DE LA PETONCE;;;VOIE;PARCELLE A 570;;1;2016-02-22;VOIE PARCELLE A 570;
150540038;2016;FRANCE;MEURTHE-ET-MOSELLE;BENAMENIL;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Autres droits;Entreprises société;2015;54061;HAUT DE GRIMONVILLER;;;VOIE;PARCELLE ZA 129;;1;2016-02-22;VOIE PARCELLE ZA 129;
150540041;2016;FRANCE;MEURTHE-ET-MOSELLE;BENAMENIL;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Autres droits;Entreprises société;2015;54061;HAUT DE GRIMONVILLER;;;VOIE;PARCELLE ZA 131;;1;2016-02-22;VOIE PARCELLE ZA 131;
150540052;2016;FRANCE;MEURTHE-ET-MOSELLE;BENAMENIL;ESPACE NATUREL;Ministère de l'écologie, du développement durable, des transports et du logement;DGITM/DIT;Autres droits;Entreprises société;2015;54061;LA PETONCE;;;VOIE;PARCELLE ZA 376;;1;2016-02-22;VOIE PARCELLE ZA 376;
